what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1520771903393
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1520771903394
os,sysinfo,,,"linux",1520771903399
arch,sysinfo,,,"x86_64",1520771903399
ws,sysinfo,,,"gtk",1520771903399
locale,sysinfo,,,"zh_CN",1520771903399
processors,sysinfo,,,"4",1520771903399
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1520771903399
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1520771903399
java.specification.name,sysinfo,,,"Java Platform API Specification",1520771903399
java.specification.vendor,sysinfo,,,"Oracle Corporation",1520771903399
java.specification.version,sysinfo,,,"1.8",1520771903399
java.vendor,sysinfo,,,"Oracle Corporation",1520771903399
java.version,sysinfo,,,"1.8.0_161",1520771903399
java.vm.info,sysinfo,,,"mixed mode",1520771903399
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1520771903399
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1520771903399
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1520771903400
java.vm.specification.version,sysinfo,,,"1.8",1520771903400
java.vm.vendor,sysinfo,,,"Oracle Corporation",1520771903400
java.vm.version,sysinfo,,,"25.161-b12",1520771903400
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1520772061185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772063879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772068341
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772070587
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772070843
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772070997
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772070999
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1520772072765
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772072765
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1520772073889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772076918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772080328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772083966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1520772166653
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772167008
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1520772167150
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1520772221806
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1520772229877
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1520772229912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1520772230524
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1520772293296
